product_id,category,product_title,brand,model,features,price,rating,review_count,image_url,inch
B0DLHNB9MY,Laptops,"Apple 2024 MacBook Pro Laptop with M4 chip with 10â€‘core CPU and 10â€‘core GPU: Built for Apple Intelligence, 35.97 cm (14.2â€³) Liquid Retina XDR Display, 16GB Unified Memory, 512GB SSD Storage; Silver",Apple,macbook pro,Brand: Apple; Model Name: MacBook Pro; Screen Size: 14 Inches; Colour: Silver; Hard Disk Size: 512 GB; CPU Model: Apple M4; RAM Memory Installed Size: 16 GB; Operating System: Mac OS; Graphics Card Description: Integrated; CPU Speed: 0.01 GHz,162990,3.9,4,https://m.media-amazon.com/images/I/61RcOfisl7L._AC_UY218_.jpg,14.2
B0CM5R9RJK,Laptops,"Apple 2023 MacBook Pro (16-inch, Apple M3 Max chip with 14â€‘core CPU and 30â€‘core GPU, 36GB Unified Memory, 1TB) - Silver",Apple,macbook pro,Brand: Apple; Model Name: MacBook Pro; Screen Size: 16 Inches; Colour: Silver; Hard Disk Size: 1 TB; CPU Model: Apple M2 Ultra; RAM Memory Installed Size: 36 GB; Operating System: Mac OS; Special Feature: Backlit Keyboard; Graphics Card Description: Integrated,319900,4.3,4,https://m.media-amazon.com/images/I/61S+iQmF5NL._AC_UY218_.jpg,16.0
B0DLHFY1C7,Laptops,"Apple 2024 MacBook Pro Laptop with M4 Pro chip with 12â€‘core CPU and 16â€‘core GPU: Built for Apple Intelligence, (14.2â€³) Liquid Retina XDR Display, 24GB Unified Memory, 512GB SSD Storage; Silver",Apple,macbook pro,Brand: Apple; Model Name: MacBook Pro; Screen Size: 14 Inches; Colour: Silver; CPU Model: Apple M4; RAM Memory Installed Size: 24 GB; Operating System: Mac OS; Graphics Card Description: Integrated; CPU Speed: 0.01 GHz; Hard Disk Description: SSD,191990,4.4,4,https://m.media-amazon.com/images/I/61eA9PkZ07L._AC_UY218_.jpg,14.2
B0DLHGCB3C,Laptops,"Apple 2024 MacBook Pro Laptop with M4 Max chip with 14â€‘core CPU and 32â€‘core GPU: Built for Apple Intelligence, (14.2â€³) Liquid Retina XDR Display, 36GB Unified Memory, 1TB SSD Storage; Space Black",Apple,macbook pro,Brand: Apple; Model Name: MacBook Pro; Screen Size: 14 Inches; Colour: Space Black; CPU Model: Apple M4; RAM Memory Installed Size: 36 GB; Operating System: Mac OS; Graphics Card Description: Integrated; CPU Speed: 0.01 GHz; Hard Disk Description: SSD,309990,3.0,3,https://m.media-amazon.com/images/I/71x9JI-Il0L._AC_UY218_.jpg,14.2
B0DLHFS9L6,Laptops,"Apple 2024 MacBook Air (13-inch, Apple M3 chip with 8â€‘core CPU and 10â€‘core GPU, 24GB Unified Memory, 512GB) - Midnight",Apple,macbook air,Brand: Apple; Model Name: MacBook Air; Screen Size: 13.6 Inches; Colour: Midnight; CPU Model: Apple M3; RAM Memory Installed Size: 24 GB; Operating System: Mac OS; Graphics Card Description: Integrated; CPU Speed: 0.01 GHz; Hard Disk Description: SSD,147990,4.7,4,https://m.media-amazon.com/images/I/61S+iQmF5NL._AC_UY218_.jpg,13.0
B0DLHGCDH3,Laptops,"Apple 2024 MacBook Pro Laptop with M4 chip with 10â€‘core CPU and 10â€‘core GPU: Built for Apple Intelligence, 35.97 cm (14.2â€³) Liquid Retina XDR Display 16GB Unified Memory, 1TB SSD Storage; Space Black",Apple,macbook pro,Brand: Apple; Model Name: MacBook Pro; Screen Size: 14 Inches; Colour: Space Black; CPU Model: Apple M4; RAM Memory Installed Size: 16 GB; Operating System: Mac OS; Graphics Card Description: Integrated; CPU Speed: 0.01 GHz; Hard Disk Description: SSD,182990,5.0,1,https://m.media-amazon.com/images/I/61eA9PkZ07L._AC_UY218_.jpg,14.2
B0DLJ82ZMT,Laptops,"Apple 2024 MacBook Pro Laptop with M4 chip with 10â€‘core CPU and 10â€‘core GPU: Built for Apple Intelligence, (14.2â€³) Liquid Retina XDR Display, 14GB Unified Memory, 1TB SSD Storage; Space Black",Apple,macbook pro,Brand: Apple; Model Name: MacBook Pro; Screen Size: 14 Inches; Colour: Space Black; CPU Model: Apple M4; RAM Memory Installed Size: 24 GB; Operating System: Mac OS; Graphics Card Description: Integrated; CPU Speed: 0.01 GHz; Hard Disk Description: SSD,201990,5.0,1,https://m.media-amazon.com/images/I/613+7m34z2L._AC_UY218_.jpg,14.2
B0DLJ7SJRK,Laptops,"Apple 2024 MacBook Pro Laptop with M4 Pro chip with 14â€‘core CPU and 20â€‘core GPU: Built for Apple Intelligence, (16.2â€³) Liquid Retina XDR Display, 48GB Unified Memory, 512GB SSD Storage; Silver",Apple,macbook pro,Brand: Apple; Model Name: MacBook Pro; Screen Size: 16 Inches; Colour: Silver; CPU Model: Apple M4; RAM Memory Installed Size: 48 GB; Operating System: Mac OS; Graphics Card Description: Integrated; CPU Speed: 0.01 GHz; Hard Disk Description: SSD,279990,3.1,2,https://m.media-amazon.com/images/I/61S+iQmF5NL._AC_UY218_.jpg,16.2
B0DLHFY1CL,Laptops,"Apple 2024 MacBook Pro Laptop with M4 Pro chip with 14â€‘core CPU and 20â€‘core GPU: Built for Apple Intelligence, (14.2â€³) Liquid Retina XDR Display, 24GB Unified Memory, 1TB SSD Storage; Silver",Apple,macbook pro,Brand: Apple; Model Name: MacBook Pro; Screen Size: 14 Inches; Colour: Silver; CPU Model: Apple M4; RAM Memory Installed Size: 24 GB; Operating System: Mac OS; Graphics Card Description: Integrated; CPU Speed: 0.01 GHz; Hard Disk Description: SSD,229990,3.9,4,https://m.media-amazon.com/images/I/61eA9PkZ07L._AC_UY218_.jpg,14.2
B0DLHGKDXH,Laptops,"Apple 2024 MacBook Pro Laptop with M4 chip with 10â€‘core CPU and 10â€‘core GPU: Built for Apple Intelligence, 35.97 cm (14.2â€³) Liquid Retina XDR Display, 16GB Unified Memory, 1TB SSD Storage; Silver",Apple,macbook pro,Brand: Apple; Model Name: MacBook Pro; Screen Size: 14 Inches; Colour: Silver; CPU Model: Apple M4; RAM Memory Installed Size: 16 GB; Operating System: Mac OS; Graphics Card Description: Integrated; CPU Speed: 0.01 GHz; Hard Disk Description: SSD,182990,5.0,1,https://m.media-amazon.com/images/I/61S+iQmF5NL._AC_UY218_.jpg,14.2
